idtransaccion,idcuentaorigen,idcuentadestino,monto,fecha,estadotransaccion
1,4322,1729,861412.32,2023-09-23,False
2,4413,3022,213012.07,2024-05-04,True
3,1911,1528,0.0,2022-09-13,False
4,1161,3678,447930.71,2022-12-15,True
5,3148,3049,942371.55,2022-09-22,True
6,4973,3880,0.0,2022-07-16,True
7,420,3040,96234.87,2022-11-06,False
8,3983,2516,29318.67,2026-10-17,False
9,1402,1922,493453.99,2023-08-12,False
10,4602,3368,0.0,2022-09-19,False
11,3992,4866,836910.44,2024-08-16,False
12,1124,382,516210.65,2024-12-29,True
13,4861,3415,155767.88,2026-09-12,True
14,1565,4619,631366.28,2023-12-02,True
15,4505,800,61226.47,2026-03-20,True
16,1645,3673,599398.44,2024-10-21,True
17,2779,3150,832225.05,2022-11-12,False
18,4653,2958,478736.79,2025-02-18,False
19,3077,4284,953460.56,2025-07-28,False
20,284,2463,707100.17,2023-08-29,True
21,4953,1062,253909.87,2023-10-27,True
22,796,4926,854016.22,2024-11-14,True
23,3289,2444,484753.67,2023-12-20,True
24,2783,1325,252815.42,2024-10-06,True
25,3893,1868,172164.32,2024-10-12,True
26,1315,1634,154397.7,2024-02-11,False
27,2040,2252,982970.65,2024-06-06,False
28,3581,1088,143301.58,2026-07-31,True
29,3140,1922,897070.23,2025-06-11,False
30,4185,3465,130698.46,2024-08-25,False
31,588,3519,0.0,2026-05-13,False
32,2086,1111,282962.49,2026-12-20,False
33,3541,4114,576424.11,2024-06-07,False
34,409,840,132013.43,2022-09-12,False
35,3787,1563,480272.05,2025-06-16,True
36,1158,4495,399203.85,2026-10-06,False
37,1185,2934,666739.27,2024-04-10,False
38,2508,1940,964855.6,2025-05-17,True
39,433,4431,479483.97,2024-01-28,True
40,2074,1880,0.0,2024-12-18,True
41,3368,3471,376489.2,2025-01-26,True
42,4910,1973,996678.01,2025-06-19,True
43,4469,3746,686695.49,2023-05-23,False
44,1408,471,168153.47,2024-03-15,False
45,2346,674,248496.31,2026-02-19,False
46,1429,591,361584.05,2023-06-06,False
47,1886,1650,273355.93,2022-08-16,True
48,4664,3351,251201.21,2025-07-01,False
49,2422,4042,62148.15,2026-10-01,False
50,4658,1482,860129.85,2023-05-10,False
51,1547,3295,351138.56,2023-07-11,True
52,2765,3314,989978.84,2023-01-23,True
53,2699,853,568687.87,2026-05-31,False
54,1770,1970,764842.98,2023-10-04,False
55,2611,718,0.0,2025-03-21,True
56,1364,772,273886.95,2023-12-10,False
57,2280,3472,99115.72,2025-01-08,False
58,4149,689,394999.86,2023-02-26,True
59,24,4752,532766.03,2022-09-28,True
60,2904,2525,846279.89,2025-10-23,True
61,1462,4611,300215.17,2022-08-24,False
62,3895,4550,772347.71,2026-09-28,True
63,3231,2079,134073.58,2025-02-01,False
64,2047,4752,590319.03,2026-05-31,False
65,3260,3628,185396.94,2023-11-08,True
66,2424,3863,958386.91,2024-10-25,False
67,878,3937,4126.15,2026-12-13,True
68,3378,891,233199.85,2022-09-12,False
69,783,2283,695189.53,2022-09-15,True
70,2813,4067,634123.74,2025-09-08,False
71,4244,1611,0.0,2026-03-13,True
72,4608,3702,250398.23,2024-10-17,True
73,4085,1258,926834.14,2025-10-13,False
74,1650,3034,236900.24,2023-10-29,True
75,3641,3473,25417.85,2026-02-28,True
76,672,2839,15931.85,2026-07-28,False
77,861,4515,767048.84,2025-04-04,True
78,4181,2643,195440.91,2025-04-07,False
79,1165,1524,218146.66,2022-09-19,True
80,4273,4595,393974.21,2023-04-16,True
81,4041,438,0.0,2026-05-31,True
82,2791,317,988878.54,2022-12-23,True
83,3355,4802,450760.74,2026-06-13,False
84,3249,4919,155647.28,2026-12-02,False
85,1174,4498,152309.69,2026-01-28,True
86,3129,144,920100.36,2025-04-10,True
87,2275,4661,681016.24,2023-09-25,True
88,2044,4505,136491.58,2026-01-22,False
89,2197,4499,106861.54,2026-08-29,True
90,4058,2158,903214.47,2023-08-11,True
91,1083,1579,163891.92,2024-10-05,False
92,3123,4995,319423.75,2025-11-21,False
93,1955,475,722017.95,2023-05-30,False
94,340,2063,187975.76,2023-09-17,False
95,3796,3397,370962.21,2022-12-31,False
96,4878,1229,404038.94,2024-11-24,False
97,1716,1081,94690.55,2025-07-14,True
98,4297,27,114036.48,2023-08-19,True
99,1076,2641,395441.01,2026-11-27,False
100,4015,4303,0.0,2025-04-26,False
101,2663,677,424709.7,2025-06-23,True
102,3033,3608,451132.84,2025-01-24,False
103,4113,4855,877576.47,2023-04-01,False
104,2655,3913,870030.41,2022-08-04,False
105,2310,2163,169684.94,2025-11-01,True
106,3048,784,682920.94,2022-11-05,False
107,3892,4681,362899.88,2024-05-06,False
108,1817,38,809930.85,2023-07-24,False
109,2272,976,28685.29,2026-04-19,True
110,365,275,734441.68,2023-03-09,True
111,1184,742,256370.23,2026-04-15,False
112,794,2182,397994.7,2023-09-08,True
113,3988,3256,429693.78,2024-11-11,False
