idcuenta,moneda,saldo,estado
1,Yuan Renminbi,,true
2,Real,708571.2,false
3,Shilling,456341.87,true
4,Krona,1742304.29,false
5,Rand,585937.03,true
6,Ruble,124188.92,false
7,Yuan Renminbi,1011648.66,true
8,Dirham,1006586.58,true
9,Peso,1196445.08,false
10,,1555593.76,true
11,Rupiah,1683685.44,true
12,Yuan Renminbi,593671.99,true
13,Ruble,664170.54,true
14,Dirham,478708.0,false
15,Peso,374768.54,true
16,Peso,914283.67,true
17,Dirham,515429.35,false
18,Euro,660416.72,false
19,,1794186.24,true
20,Euro,417802.66,false
21,Rupiah,951900.18,true
22,Yuan Renminbi,1960706.34,true
23,Euro,1437433.99,false
24,Peso,1103204.18,false
25,Dirham,1755030.07,false
26,Rupiah,1510672.43,true
27,Hryvnia,1776169.02,false
28,Ruble,1797566.39,false
29,Peso,1431316.36,true
30,Yuan Renminbi,1797138.23,
31,Won,1571074.56,false
32,Koruna,1830435.77,true
33,Rupiah,136349.01,true
34,Koruna,1758519.51,true
35,Ruble,470501.2,false
36,Yen,941155.89,false
37,Yen,1132645.09,false
38,Naira,1255226.56,true
39,Won,901754.32,true
40,Yuan Renminbi,935189.52,true
41,Dollar,1924745.84,true
42,Yuan Renminbi,714726.29,true
43,Yuan Renminbi,390349.43,true
44,Taka,202021.2,false
45,Peso,82724.42,true
46,Euro,1611991.21,true
47,Euro,1595477.53,false
48,Euro,1323337.68,true
49,Dollar,,true
50,Krona,1957053.23,true
51,Pula,958302.38,false
52,,760445.35,
53,Euro,230972.45,false
54,Hryvnia,628031.24,false
55,Yen,12681.24,false
56,Rupiah,8826.43,true
57,Peso,296045.35,true
58,Peso,1897591.8,false
59,Ruble,1252609.43,true
60,Yuan Renminbi,1727612.08,
61,Sol,1107151.52,false
62,Yuan Renminbi,1287700.47,true
63,Yuan Renminbi,416128.8,false
64,Hryvnia,1594562.76,false
65,Koruna,1821005.3,true
66,Euro,1207000.44,true
67,Euro,1131425.01,true
68,Peso,1192895.2,true
69,Somoni,1888852.38,true
70,Dalasi,1207291.16,true
71,Lempira,642455.85,true
72,Marka,178850.75,false
73,Yuan Renminbi,24375.69,true
74,Euro,1909355.96,false
75,Dollar,411137.89,false
76,Ruble,1619453.37,true
77,,934314.4,true
78,Rupiah,1774167.36,false
79,Rupiah,1544120.93,false
80,Yuan Renminbi,553855.7,true
81,Real,259283.94,true
82,Naira,1669255.75,true
83,Yuan Renminbi,447394.04,true
84,Rupiah,245427.96,true
85,Yuan Renminbi,52499.07,false
86,Rupiah,1247030.2,true
87,Dollar,1299254.21,true
88,Yuan Renminbi,,false
89,Bolivar,402830.24,false
90,Euro,1683190.48,true
91,Yuan Renminbi,424803.95,false
92,Rupiah,669429.7,true
93,Dollar,1216793.31,
94,Peso,990678.18,false
95,Zloty,,false
96,Koruna,1796447.01,false
97,Guarani,,false
98,,,false
99,Riels,404567.61,true
100,Krona,1101606.95,false
101,Koruna,537814.3,true
102,Euro,765442.89,false
103,Dollar,1975229.1,true
104,Dong,928169.84,false
105,Peso,88587.98,false
106,Peso,1251698.69,true
107,Yen,1260363.66,false
108,Won,655541.48,false
109,Yuan Renminbi,191970.33,true
110,Pound,1873117.72,true
111,Franc,1099393.59,false
112,,,true
113,Rand,210733.45,false
114,Yuan Renminbi,1469130.01,false
115,Yuan Renminbi,1307877.31,true
116,Yuan Renminbi,1946293.89,false
117,Tugrik,305346.33,true
118,,,false
119,Yuan Renminbi,1716699.38,false
120,Dollar,830958.48,false
121,Franc,584816.68,false
122,Yen,296821.42,true
123,Afghani,169061.84,true
124,Hryvnia,519894.12,false
125,Dollar,1727245.41,false
126,Yuan Renminbi,,false
127,Guarani,244006.54,false
128,Dollar,931558.31,true
129,Krona,685024.22,true
130,Rupiah,717299.45,false
131,Yuan Renminbi,5504.86,false
132,Euro,1099238.97,false
133,Yuan Renminbi,505656.97,true
134,Euro,182650.44,true
135,,478245.06,true
136,,597302.83,true
137,Quetzal,1083192.28,false
138,Ruble,467737.53,true
139,Rupee,638084.72,true
140,Yuan Renminbi,1408697.92,true
141,Koruna,1418240.82,true
142,,849529.55,true
143,,,true
144,Real,1647141.63,true
145,Yuan Renminbi,14851.73,true
146,Krona,,false
147,Won,228383.1,true
148,Dollar,963201.77,true
149,Baht,251335.59,false
150,Euro,110358.8,false
151,Rial,333674.63,false
152,Yuan Renminbi,4673.37,
153,Quetzal,316129.5,true
154,Rupiah,1976673.42,false
155,Peso,134610.39,false
156,Gourde,1179870.41,true
157,Euro,1314089.52,false
158,Lempira,1020192.39,false
159,Rupiah,935117.18,false
160,Ruble,137349.29,true
161,Kwacha,527830.23,false
162,,1383909.0,false
163,Pula,734072.26,false
164,Shekel,85397.33,true
165,Rupiah,1126892.11,true
166,Dong,295072.24,false
167,Peso,1567406.18,false
168,Real,1457667.93,true
169,Koruna,77291.37,false
170,Peso,579764.5,false
171,Yuan Renminbi,290440.25,false
172,Rupiah,1327971.95,true
173,Shilling,501913.6,
174,Yuan Renminbi,1649819.28,false
175,Yuan Renminbi,478748.41,true
176,Lek,48746.48,false
177,Euro,1040952.56,false
178,Yuan Renminbi,118281.22,true
179,Euro,225172.75,true
180,Rial,1447848.11,false
181,Yuan Renminbi,283287.43,true
182,Yuan Renminbi,511418.39,true
183,Yuan Renminbi,731480.86,false
184,Ringgit,1413142.06,true
185,Peso,332488.85,true
186,Franc,157377.13,false
187,Yuan Renminbi,325949.15,false
188,Rupiah,1606078.38,true
189,Baht,929170.65,true
190,Bolivar,119265.65,false
191,Rand,325183.33,true
192,Yuan Renminbi,1074594.75,false
193,Real,,false
194,Rupiah,1752025.58,true
195,,1004574.07,true
196,Yuan Renminbi,1955404.91,false
197,Krona,,true
198,Ruble,283130.26,true
199,Peso,1144732.98,true
200,Krona,1796901.53,
201,Ruble,723458.22,true
202,Peso,1615464.03,false
203,Yuan Renminbi,1245032.49,true
204,,895996.81,true
205,Peso,1631702.09,false
206,Yen,400812.89,true
207,Peso,1941723.81,false
208,Ruble,1150498.86,false
209,,1537001.35,true
210,Krona,1351931.12,false
211,Peso,1974104.89,true
212,Hryvnia,268205.98,false
213,Euro,1914800.22,false
214,Shilling,688375.69,true
215,Zloty,1874431.45,true
216,Tenge,1909546.5,false
217,Hryvnia,300513.8,false
218,Forint,1514252.64,true
219,Yuan Renminbi,,false
220,Zloty,1525041.87,false
221,Ruble,73661.92,false
222,Lev,733881.58,true
223,Euro,1358978.91,false
224,Dollar,748629.25,false
225,Rupee,309898.65,false
226,Zloty,1004621.16,false
227,,680889.45,false
228,Shekel,1029318.64,true
229,Franc,1221676.13,false
230,Yuan Renminbi,,true
231,Denar,1626620.13,true
232,,413076.09,false
233,Birr,910672.37,true
234,Euro,591205.79,false
235,Yuan Renminbi,339139.86,true
236,Euro,940011.43,true
237,Real,982484.33,true
238,Koruna,719704.76,true
239,Rupiah,1694552.59,true
240,Yuan Renminbi,1908635.62,true
241,Yen,477735.01,true
242,Rufiyaa,1801517.24,true
243,Kip,1783056.27,true
244,Euro,683457.54,true
245,Real,788524.47,true
246,Hryvnia,124335.85,false
247,Euro,780535.74,false
248,,1855032.68,true
249,Zloty,61120.33,true
250,Euro,907971.24,true
251,Shekel,51130.22,true
252,Hryvnia,1967770.26,false
253,Real,1536536.79,false
254,Euro,1650039.79,true
255,Yuan Renminbi,1213535.66,true
256,Peso,807356.03,false
257,Rupiah,,false
258,Yuan Renminbi,1084012.92,true
259,Pound,1189411.49,false
260,Yuan Renminbi,1131800.17,true
261,Lempira,1978720.05,true
262,Zloty,746510.17,false
263,Cordoba,497857.24,false
264,Dollar,1956998.26,false
265,Denar,348732.91,true
266,Franc,895673.26,
267,Dong,,false
268,Yuan Renminbi,,false
269,Yuan Renminbi,1276574.61,true
270,Hryvnia,27902.05,true
271,Rupiah,1990294.11,false
272,Yen,1189364.31,true
273,Yen,9442.58,true
274,Ruble,942961.47,false
275,Rupiah,991327.0,false
276,Yen,1854463.11,true
277,Rial,813981.76,false
278,Real,1770293.86,false
279,Zloty,1706797.83,true
280,,1795494.5,false
281,Zloty,1292111.07,true
282,Tenge,1568666.28,true
283,Rupiah,1223968.03,false
284,,519886.05,true
285,Yen,680622.28,false
286,Euro,293924.26,true
287,Naira,619966.33,false
288,Rupiah,384462.75,true
289,Koruna,,
290,Peso,1333010.9,false
291,Real,509904.23,true
292,Peso,634231.29,true
293,Yuan Renminbi,1178831.52,false
294,Rupee,649461.25,true
295,Sol,79528.74,true
296,Rupiah,1039544.65,true
297,Peso,1622708.58,true
298,Peso,974271.2,false
299,Peso,308086.36,true
300,Euro,661823.32,false
301,Real,1737622.75,false
302,Rupiah,44305.09,true
303,Euro,626484.61,false
304,Dinar,1103797.31,false
305,Yuan Renminbi,1187762.63,true
306,,505376.0,true
307,Yuan Renminbi,477151.92,false
308,Ruble,354218.3,true
309,Real,1902998.68,false
310,Sol,1007599.2,true
311,Euro,28305.17,true
312,Dinar,,true
313,,1960530.79,false
314,Yuan Renminbi,1653648.13,
315,Hryvnia,803486.75,false
316,Rupee,1769992.25,false
317,Franc,826985.88,false
318,Dollar,1352451.47,true
319,Euro,1923279.43,false
320,Rupiah,722242.19,false
321,Peso,,false
322,Peso,1622356.31,true
323,Yuan Renminbi,1781893.9,false
324,Ringgit,433759.93,true
325,Rupiah,813078.33,true
326,Ruble,1122466.56,true
327,Yuan Renminbi,1977162.15,true
328,Dong,883633.87,true
329,Yuan Renminbi,1035472.46,false
330,Rupiah,440225.67,true
331,Krona,1709817.99,false
332,Dollar,1099295.44,true
333,Franc,642901.33,
334,Euro,,true
335,,1482155.11,true
336,Lempira,1689372.05,true
337,Krona,1240450.77,true
338,Ruble,1364630.16,true
339,Dollar,1268303.57,false
340,Peso,1681386.19,true
341,Afghani,1616350.24,true
342,Peso,717270.04,false
343,Rial,902269.59,true
344,Peso,803823.28,true
345,Peso,1017631.82,true
346,Yuan Renminbi,1880090.03,false
347,Yuan Renminbi,796338.27,true
348,Koruna,,
349,,1607040.7,false
350,Peso,1631982.66,true
351,Sol,394321.12,false
352,Peso,1250308.46,true
353,Dollar,1664058.9,true
354,Ruble,1738702.74,true
355,Rupiah,1489214.93,true
356,Yuan Renminbi,593711.25,
357,Euro,603669.62,false
358,Rupiah,604577.81,true
359,Euro,1718364.49,true
360,Ruble,1848772.95,true
361,Euro,1782668.81,false
362,,1657139.85,
363,Litas,397881.39,true
364,,1049713.44,false
365,Peso,1049693.35,false
366,Euro,957367.84,false
367,Zloty,84075.15,true
368,Franc,10699.29,false
369,Peso,487846.32,false
370,,722186.16,true
371,Yuan Renminbi,259709.48,false
372,Dollar,618711.01,true
373,Ruble,1651963.46,true
374,Ruble,320034.94,true
375,Quetzal,713026.07,false
376,Krona,681979.66,false
377,Real,1144278.32,false
378,Rial,958091.47,true
379,Euro,433836.88,true
380,Shekel,624915.26,false
381,Rupiah,1122881.11,true
382,Yuan Renminbi,67315.08,true
383,Zloty,1968769.19,false
384,Yuan Renminbi,1720086.86,false
385,Dollar,1161053.56,true
386,Euro,910747.92,true
387,Peso,93774.74,true
388,Peso,505460.02,
389,Rial,1814634.85,true
390,Quetzal,705891.86,
391,Rupiah,481226.09,false
392,Krona,1883153.42,true
393,Yuan Renminbi,833565.17,true
394,Yuan Renminbi,107540.82,true
395,Ruble,1427692.72,false
396,Shekel,,false
397,,277771.4,true
398,Gourde,1665277.93,false
399,Euro,466464.38,true
400,Real,973530.54,true
401,Ruble,1761551.14,false
402,Yen,1061288.67,true
403,Euro,907872.28,true
404,Afghani,292401.07,true
405,Yuan Renminbi,1932607.7,true
406,Franc,1966275.38,false
407,Rupiah,1111207.13,false
408,Krona,1138878.93,false
409,,864455.11,true
410,Franc,811768.27,true
411,Yuan Renminbi,897754.47,true
412,Rupiah,648048.4,false
413,Koruna,348652.49,true
414,Dollar,1861235.55,false
415,Krona,684675.57,
416,Dollar,1770929.35,false
417,Yuan Renminbi,1728649.41,true
418,Rupiah,511547.63,true
419,Peso,1112429.02,false
420,Koruna,1143999.44,false
421,,1390213.43,true
422,Yuan Renminbi,1038425.78,true
423,Dollar,664048.55,false
424,Yuan Renminbi,1479266.73,
425,Sol,889977.57,false
426,Yuan Renminbi,556006.26,false
427,Yuan Renminbi,495568.23,true
428,Ruble,1589986.24,true
429,Yuan Renminbi,209608.01,false
430,Yuan Renminbi,399376.05,
431,Cordoba,1022172.95,false
432,Afghani,1638416.84,true
433,Peso,1088277.97,false
434,Yuan Renminbi,1235170.62,true
435,Rupiah,663881.0,true
436,Yuan Renminbi,531228.01,true
437,Tugrik,943841.94,false
438,Peso,1623611.65,false
439,Baht,900819.7,false
440,Dollar,1382643.68,false
441,Real,1454449.04,false
442,Rupee,,false
443,Yuan Renminbi,352428.87,true
444,Baht,1883046.88,false
445,Rupiah,1515349.59,true
446,Peso,992983.0,true
447,Lari,1081238.15,false
448,Koruna,1869686.36,true
449,Yuan Renminbi,1693824.31,true
450,Rupiah,,false
451,Rupiah,963940.74,true
452,Shekel,,false
453,Riels,527565.39,true
454,Real,,true
455,Euro,1437584.79,true
456,Euro,1188970.86,true
457,Dollar,119461.91,true
458,Euro,1116867.91,true
459,Yuan Renminbi,,true
460,Euro,440122.16,true
461,Peso,1053565.22,false
462,Euro,1480522.19,true
463,,332925.45,true
464,Euro,285265.27,true
465,Zloty,,true
466,Euro,62626.55,false
467,Peso,986010.67,
468,Peso,1093518.36,false
469,Yen,1612511.11,true
470,Rupiah,1929610.05,true
471,Yuan Renminbi,1413343.86,false
472,Dollar,1598924.29,false
473,Rupiah,235063.32,true
474,Yuan Renminbi,,true
475,Yuan Renminbi,1288865.39,false
476,Dollar,407681.56,true
477,Dollar,172098.57,false
478,Koruna,1593378.1,true
479,,1909287.58,true
480,Dinar,783867.35,false
481,Dinar,809925.3,false
482,Yuan Renminbi,1291060.29,
483,,456961.32,false
484,Rupiah,440639.28,true
485,Won,117024.32,false
486,Peso,1520614.03,true
487,Real,638901.93,true
488,Dollar,1338499.64,true
489,Hryvnia,974370.53,false
490,Euro,586836.49,false
491,Dong,1491712.19,true
492,Ruble,857293.28,true
493,Peso,976764.18,true
494,Won,267765.25,true
495,Euro,1071479.18,
496,Koruna,936079.98,false
497,Real,803387.88,false
498,Rupiah,1645492.46,false
499,Yuan Renminbi,405895.86,false
500,Sol,1734268.18,true
501,Euro,1793233.9,false
502,Kyat,1499036.1,true
503,Peso,1409110.8,true
504,Peso,1861904.76,false
505,Dollar,1649103.28,false
506,Peso,420077.67,false
507,Rupiah,786693.77,false
508,Yuan Renminbi,539467.64,true
509,Rupiah,1724565.82,false
510,Euro,466863.26,true
511,Shilling,485408.05,false
512,Real,235600.86,false
513,Yen,1457174.43,true
514,Yuan Renminbi,699582.23,false
515,Koruna,1453866.99,true
516,Won,1911466.04,true
517,Ruble,1986646.83,false
518,Euro,1474464.38,false
519,Yuan Renminbi,1706383.04,true
520,Ruble,1265476.46,false
521,Euro,1787801.89,true
522,Dinar,1991020.19,false
523,Rupiah,1119683.6,true
524,Rupiah,,true
525,Dollar,444917.34,false
526,Rupee,934144.76,true
527,Yuan Renminbi,423360.16,true
528,,1341829.08,false
529,Ruble,1827017.28,true
530,Yuan Renminbi,786641.98,false
531,Real,1271159.9,false
532,Peso,27125.36,true
