idlibro,idtransaccion,saldo,monto,fechalibro
1,4689,864317.61,873423.23,2023-05-13
2,1707,263213.71,796538.56,2024-05-20
3,2968,848170.23,640236.99,2023-12-13
4,4659,4455.66,441763.57,2025-02-01
5,2236,559197.02,490045.2,2026-05-03
6,1303,723462.22,,2023-08-09
7,610,370030.91,899946.31,2024-03-23
8,4022,586574.86,599557.93,2022-08-05
9,2471,12331.61,455314.16,2026-06-28
10,887,796927.38,196507.72,2026-05-26
11,2913,,114703.59,2022-09-09
12,1901,184862.24,,2026-08-16
13,2156,,305381.4,2023-09-10
14,2211,405465.01,790887.14,2023-07-13
15,3968,861632.35,554044.34,2025-06-21
16,336,285047.4,728540.81,2025-11-16
17,3635,752502.61,987166.52,2022-08-01
18,4754,762298.03,411790.79,
19,1125,708659.64,439478.24,2025-04-17
20,2375,841422.14,,2023-12-05
21,1133,801680.17,221151.39,2025-06-19
22,1822,637211.95,176010.62,2023-06-14
23,2126,55626.41,6417.45,2023-06-23
24,1954,651895.95,377098.13,2024-08-09
25,3450,862869.35,922809.52,2023-02-03
26,1592,882296.12,739298.26,
27,3572,886794.45,262472.39,2025-06-10
28,4342,789524.81,288798.13,2026-05-04
29,418,654103.75,259936.79,2023-01-19
30,1388,,832692.75,2024-09-12
31,3945,5683.04,386983.25,2023-07-27
32,2669,503587.89,105346.36,2026-12-19
33,3955,82573.81,907555.71,2022-08-17
34,2046,835422.95,870726.63,2023-11-30
35,3897,428901.73,896167.0,2026-12-09
36,285,369147.85,261035.36,2023-02-17
37,2262,876651.99,947820.33,2022-12-28
38,727,927890.71,921613.87,2024-11-05
39,549,168029.18,60901.33,2023-11-21
40,4859,,526992.27,2024-10-13
41,115,795104.0,567629.44,
42,114,54262.87,250325.92,2023-07-15
43,2689,870703.21,39130.09,2023-04-02
44,959,720321.92,769229.84,2022-09-05
45,4379,,588372.26,2024-05-02
46,208,,,2023-08-13
47,4807,309257.52,42621.94,2024-08-02
48,3246,40242.0,985443.47,2022-11-19
49,2867,336915.78,492523.02,2022-11-02
50,3502,247011.75,468801.81,2024-04-10
51,2497,233387.82,299874.65,2023-05-27
52,1014,49079.35,805684.74,2025-06-13
53,4308,973733.65,487731.02,2026-12-28
54,460,92518.67,547064.04,2026-12-25
55,2641,830793.43,998552.01,2025-12-03
56,215,711264.58,376308.93,2023-10-31
57,4142,384875.28,505177.57,2025-09-17
58,4694,574458.77,700598.81,2025-04-26
59,3155,,225857.49,2023-04-05
60,4629,289386.58,189992.15,2022-07-27
61,3760,25318.97,308246.18,2023-09-17
62,4961,212573.73,211181.46,2022-07-12
63,170,507565.82,714948.72,2026-06-20
64,3376,277357.01,886238.71,
65,2034,,654166.92,
66,3494,888788.32,130696.43,2025-11-03
67,2958,489047.17,217164.69,2026-05-28
68,574,655200.24,7595.69,2025-07-25
69,218,797669.17,49504.72,2026-03-02
70,4032,,900459.07,2023-04-10
71,1545,753909.38,141498.14,2024-01-28
72,4523,489545.75,905287.12,2023-06-05
73,2847,795384.63,201693.4,2025-07-13
74,4299,181006.18,238800.98,2024-07-01
75,2494,353221.17,244629.44,2023-04-20
76,2759,466988.86,430677.78,2025-04-03
77,3926,431433.17,726267.01,2022-11-07
78,1027,409900.14,977643.39,2025-07-01
79,174,504994.48,119457.28,2023-08-28
80,3146,174114.23,3204.63,2022-12-16
81,234,298915.75,374517.86,2026-09-23
82,4985,472423.87,103841.62,2024-05-07
83,4110,136228.12,728225.98,2024-06-06
84,2730,522272.6,272203.01,2022-12-16
85,2305,669786.53,404267.52,2022-07-27
86,2243,291432.86,77102.8,2023-08-04
87,4343,637259.59,380254.03,2025-02-18
88,4866,48366.36,952893.1,2022-11-16
89,2558,902216.75,457457.95,2025-12-14
90,2553,238419.01,662636.27,2024-10-11
91,1890,776928.86,979576.72,2022-11-29
92,4885,669152.81,,2024-04-13
93,3406,607858.82,13312.26,2023-04-18
94,282,672395.67,423543.04,2023-09-25
95,3963,832264.33,856669.18,2022-11-23
96,2455,459028.08,,2026-10-13
97,3005,849418.93,766544.72,2026-02-07
98,4305,134171.6,625430.36,2026-09-25
99,4182,616384.03,109657.68,2025-07-09
100,3812,145854.47,582049.55,2026-11-05
101,3579,950910.37,449750.33,2025-09-18
102,1765,831213.16,683902.55,2023-04-08
103,1383,472471.41,341690.76,2025-04-18
104,290,733948.74,74218.72,2025-07-30
105,3439,68622.36,731191.32,2025-06-20
106,3393,355314.62,65207.48,2023-02-26
107,2481,482994.13,756649.93,2024-01-19
108,4935,86671.29,349808.81,2026-08-18
109,4183,823164.45,11227.04,2023-05-20
110,624,152601.82,348664.02,2025-04-10
111,4157,772357.94,677804.31,2023-11-08
112,640,849427.78,114593.36,2025-07-19
113,1031,528935.07,509310.29,2026-10-27
114,4976,299120.82,842797.6,2025-11-14
115,4270,857242.97,115515.51,2026-07-16
116,3104,,381873.15,2024-08-08
117,2489,483802.78,572860.65,2023-09-30
118,2715,,4314.02,2025-02-05
119,9,212830.22,193727.74,2025-07-01
120,4088,435167.19,818217.93,2026-03-04
121,419,559024.6,658424.43,2026-01-31
122,4235,508826.05,837167.52,2026-08-19
123,808,793136.11,498005.96,2022-10-28
124,320,886913.64,45557.31,2025-08-30
125,2576,813647.94,792392.47,2024-01-10
126,2265,895663.11,717842.84,2022-12-23
127,4587,537751.73,297950.54,2024-08-02
128,2297,702598.3,965959.6,2024-07-24
129,1192,113819.58,359566.52,2024-12-07
130,3969,315250.39,839866.26,2026-03-12
131,1873,60150.26,132885.36,2022-10-30
132,1015,648099.33,25631.95,
133,2555,702634.44,644020.5,2024-06-14
134,2210,,334076.28,2024-12-06
135,2111,,134719.25,2025-07-24
136,2987,744895.92,241512.48,2024-10-16
137,4899,75519.18,,2023-04-17
138,1534,307357.31,,2023-03-08
139,1353,,665767.56,2024-11-03
140,3473,63258.49,284127.03,2024-12-08
141,1988,798995.52,157711.37,2025-06-16
142,843,789389.92,880926.23,
143,3967,624924.72,844713.4,2022-08-26
144,4263,113650.09,,2023-04-22
145,1063,589445.79,205924.09,2025-10-09
146,4285,675695.87,584920.04,2023-01-15
147,1390,385283.46,105678.93,2023-12-30
148,4662,381072.55,767338.21,2024-11-30
149,1394,8984.52,,2025-11-02
150,2619,596163.47,664081.51,2023-05-17
151,654,912395.51,375775.41,2025-07-08
152,1573,263183.77,618284.69,2025-12-14
153,1206,544486.21,837331.71,2026-12-05
154,59,917869.43,422519.27,2022-11-12
155,1897,610305.05,372328.15,2023-08-01
156,4111,663499.61,667.36,2023-10-24
157,3910,999802.89,129801.2,2025-01-28
158,1265,567693.17,884403.43,2024-10-08
159,2571,349102.13,321089.2,2024-10-30
160,1663,526683.8,994763.58,2023-11-21
161,4478,923876.47,375584.71,2022-08-25
162,516,527983.27,708265.51,2024-02-07
163,1342,889282.85,184595.29,2022-10-17
164,4017,68127.35,523982.78,2023-12-29
165,1356,469354.49,581866.09,
166,1315,,96017.46,2022-10-01
167,3238,612747.39,403587.49,2026-02-10
168,1627,276620.19,65857.36,2026-02-14
169,3798,30568.01,468895.29,2022-07-19
170,2608,999440.32,,2026-03-29
171,2533,596489.23,253081.09,2026-03-30
172,4125,158496.83,94744.23,2022-12-18
173,720,554111.4,180546.99,
174,623,860954.94,714154.0,2024-09-20
175,1433,779971.41,76024.87,2025-02-22
176,3764,,,2024-04-17
177,3245,282638.39,585567.38,2022-07-29
178,1456,,889151.16,2022-09-03
179,4327,427137.62,206717.64,2026-12-22
180,85,183545.35,604848.35,2026-05-23
181,4995,420369.28,997904.72,2026-05-03
182,3549,,987578.28,2024-09-17
183,4248,,559473.11,2026-08-19
184,1678,137115.6,440958.48,2025-12-21
185,2796,197248.49,,2023-09-09
186,2563,161274.56,494501.63,2024-05-11
187,2203,,772381.27,2024-12-08
188,4361,28243.34,25884.7,2023-02-04
189,534,561802.38,838607.6,2022-09-20
190,3428,63081.44,545315.27,2026-07-11
191,1037,440085.81,439853.59,2026-07-14
192,3158,119101.58,239708.54,2023-12-18
193,2987,,569068.1,2024-11-08
194,4152,193131.58,683775.16,2026-11-21
195,2727,251753.34,127390.38,2026-06-12
196,734,972274.9,231750.42,2025-11-01
197,4460,215685.81,90666.98,2024-11-30
198,4128,497539.21,996284.06,2024-01-06
199,504,628080.74,579053.67,2024-07-03
200,4128,614249.41,884326.0,2024-05-11
201,3880,413596.66,108242.15,2026-08-03
202,2342,301522.28,904202.75,2023-03-10
203,379,944259.68,962490.68,2024-12-15
204,176,147729.36,803722.09,2023-09-18
205,2356,957992.85,385626.54,2026-03-01
206,3160,144196.26,73408.73,2022-07-10
207,4018,769563.69,896326.21,2022-12-31
208,3820,43817.8,2154.42,2023-12-11
209,4631,165929.53,565306.04,2026-07-23
210,1517,263822.57,394821.68,2026-04-24
211,3928,607374.95,908403.18,2024-08-10
212,459,482666.7,471841.24,2025-09-09
213,2172,949084.39,276688.06,2024-04-04
214,4253,304607.78,109333.49,
215,3408,571900.93,923708.2,2025-11-23
216,1258,,746504.7,2025-09-06
217,279,738869.81,,2025-11-16
218,2434,521752.54,775773.2,2023-01-25
219,2366,73626.56,443732.73,2026-11-05
220,3357,890139.96,194318.25,2024-05-25
221,239,,903853.12,2022-09-04
222,3199,53646.73,787432.78,2022-10-12
223,3087,619061.8,574320.2,2026-07-01
224,4622,975022.87,78897.83,2024-05-02
225,3752,309674.93,,
226,640,383151.9,501357.75,2023-10-06
227,3369,498307.58,499835.48,2024-04-15
228,2570,459433.58,,2024-07-29
229,281,260736.75,451481.89,2024-07-23
230,26,78369.08,285006.52,2022-09-25
231,2705,487811.3,752709.92,
232,2951,426707.39,471518.8,2023-09-16
233,1775,376607.37,325042.71,2022-10-09
234,787,164299.56,619161.92,2022-08-12
235,1285,517641.71,639820.47,2024-05-20
236,787,409469.24,798169.72,2025-05-01
237,4068,623047.85,322681.67,2026-04-10
238,4672,751765.25,755713.7,2023-01-15
239,4070,367713.52,152942.82,2024-09-24
240,649,118484.72,695057.16,2025-04-26
241,4633,29771.05,773560.33,2024-05-27
242,2999,353899.09,565205.52,2026-04-04
243,2003,608647.05,275489.31,2024-07-10
244,1964,158990.11,709362.63,2022-08-18
245,2381,,389392.81,2025-04-29
246,4714,413663.03,36968.4,2026-05-04
247,2810,617759.41,167291.11,2023-02-24
248,1151,561079.99,901362.03,2026-10-09
